,Unnamed: 0.1,Unnamed: 0,Item,ICC,PVal,CI95
0,0,55.0,somatic-and-sensory-functions_eating,0.988,0.0,[0.97 1.  ]
1,1,53.0,social-function_social-engagement,0.943,0.0,[0.87 0.98]
2,2,24.0,emotion_emotional-regulation-and-reactivity,0.919,0.0,[0.81 0.97]
3,3,10.0,cognition_attention-concentration,0.887,0.0,[0.75 0.95]
4,4,50.0,personality_self-confidence,0.878,0.0,[0.73 0.95]
5,5,18.0,communication_speech-quality,0.849,0.0,[0.67 0.93]
6,6,9.0,cognition_abstract-thinking,0.845,0.0,[0.66 0.93]
7,7,16.0,communication_expressive-language,0.8,0.0,[0.58 0.91]
8,8,51.0,social-function_social-communication,0.78,0.0,[0.54 0.9 ]
9,9,21.0,daily-routines_screen-time,0.746,0.0,[0.48 0.89]
10,10,8.0,behavior_self-control,0.725,0.0,[0.45 0.88]
11,11,15.0,cognition_thinking-speed,0.68,0.0,[0.37 0.85]
12,12,7.0,behavior_risk-taking,0.68,0.0,[0.37 0.85]
13,13,47.0,personality_integrity-and-honesty,0.643,0.0,[0.31 0.83]
14,14,2.0,behavior_assertiveness,0.576,0.002,[0.21 0.8 ]
15,15,25.0,emotion_empathy,0.567,0.002,[0.2  0.79]
16,16,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.505,0.007,[0.12 0.76]
17,17,1.0,behavior_anger-management,0.483,0.01,[0.09 0.75]
18,18,13.0,cognition_self-image,0.459,0.014,[0.06 0.73]
19,19,28.0,emotion_worries-anxiety,0.445,0.017,[0.04 0.72]
20,20,19.0,communication_speech-quantity,0.403,0.028,[-0.01  0.7 ]
21,21,48.0,personality_perseverance,0.268,0.108,[-0.16  0.61]
22,22,26.0,emotion_irritability,0.232,0.144,[-0.2   0.59]
23,23,27.0,emotion_stress-management,0.143,0.257,[-0.29  0.53]
24,24,3.0,behavior_compliance,0.1,0.325,[-0.33  0.49]
25,25,17.0,communication_receptive-language,0.0,0.5,[-0.41  0.41]
26,26,23.0,emotion_attachment,0.0,0.5,[-0.41  0.41]
27,27,49.0,personality_responsibility-for-self-and-others,0.0,0.5,[-0.41  0.41]
28,28,11.0,cognition_memory-recall,0.0,0.5,[-0.41  0.41]
29,29,0.0,behavior_activity-level,0.0,0.5,[-0.41  0.41]
30,30,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.0,0.5,[-0.41  0.41]
31,31,52.0,social-function_social-cooperation,0.0,0.5,[-0.41  0.41]
32,32,5.0,behavior_obsessive-thoughts,-0.0,0.5,[-0.41  0.41]
33,33,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.0,0.512,[-0.42  0.41]
34,34,46.0,personality_future-outlook,0.0,0.669,[-0.49  0.33]
35,35,4.0,behavior_habits-routines,,,[nan nan]
36,36,6.0,behavior_play,,,[nan nan]
37,37,12.0,cognition_planning-and-organization,,,[nan nan]
38,38,14.0,cognition_task-completion,,,[nan nan]
39,39,20.0,daily-routines_morning-routine,,,[nan nan]
40,40,22.0,daily-routines_transitions,,,[nan nan]
41,41,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,,,[nan nan]
42,42,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,,,[nan nan]
43,43,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,,,[nan nan]
44,44,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,,,[nan nan]
45,45,36.0,other-special-issues_bullying,,,[nan nan]
46,46,37.0,other-special-issues_perception-of-reality,,,[nan nan]
47,47,38.0,other-special-issues_physically-harms-self,,,[nan nan]
48,48,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
49,49,40.0,other-special-issues_self-care-hygiene,,,[nan nan]
50,50,41.0,other-special-issues_sleep,,,[nan nan]
51,51,42.0,other-special-issues_substance-use,,,[nan nan]
52,52,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
53,53,44.0,other-special-issues_trauma-history,,,[nan nan]
54,54,45.0,personality_creativity,,,[nan nan]
55,55,54.0,social-function_tolerance,,,[nan nan]
56,56,56.0,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
57,57,57.0,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
58,58,58.0,toileting,,,[nan nan]
59,mean,,,0.4441142857142857,,
mean,,,,0.4441142857142857,,
