,Item,ICC,PVal,CI95
10,cognition_attention-concentration,0.795,0.000,[0.52 0.92]
24,emotion_emotional-regulation-and-reactivity,0.834,0.000,[0.66 0.93]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.813,0.000,[0.61 0.92]
12,cognition_planning-and-organization,0.775,0.000,[0.54 0.9 ]
8,behavior_self-control,0.737,0.000,[0.44 0.89]
36,other-special-issues_bullying,0.750,0.000,[0.48 0.89]
28,emotion_worries-anxiety,0.717,0.000,[0.42 0.88]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.712,0.001,[0.4  0.88]
19,communication_speech-quantity,0.627,0.001,[0.25 0.84]
2,behavior_assertiveness,0.674,0.002,[0.31 0.86]
3,behavior_compliance,0.650,0.002,[0.29 0.85]
14,cognition_task-completion,0.606,0.005,[0.2  0.83]
25,emotion_empathy,0.593,0.009,[0.15 0.83]
5,behavior_obsessive-thoughts,0.595,0.010,[0.14 0.83]
26,emotion_irritability,0.574,0.012,[0.11 0.82]
1,behavior_anger-management,0.580,0.013,[0.1  0.82]
44,other-special-issues_trauma-history,0.573,0.015,[0.08 0.82]
27,emotion_stress-management,0.543,0.017,[0.06 0.8 ]
15,cognition_thinking-speed,0.558,0.018,[0.06 0.81]
7,behavior_risk-taking,0.464,0.020,[-0.    0.75]
47,personality_integrity-and-honesty,0.500,0.022,[0.02 0.78]
18,communication_speech-quality,0.507,0.023,[0.02 0.78]
23,emotion_attachment,0.516,0.027,[-0.    0.79]
0,behavior_activity-level,0.471,0.047,[-0.11  0.77]
9,cognition_abstract-thinking,0.395,0.065,[-0.15  0.73]
22,daily-routines_transitions,0.414,0.071,[-0.18  0.74]
51,social-function_social-communication,0.419,0.079,[-0.23  0.75]
50,personality_self-confidence,0.399,0.096,[-0.3   0.75]
48,personality_perseverance,0.343,0.097,[-0.22  0.7 ]
21,daily-routines_screen-time,0.386,0.101,[-0.3   0.74]
45,personality_creativity,0.355,0.110,[-0.29  0.72]
13,cognition_self-image,0.376,0.115,[-0.36  0.74]
53,social-function_social-engagement,0.344,0.137,[-0.4   0.72]
52,social-function_social-cooperation,0.223,0.222,[-0.46  0.65]
49,personality_responsibility-for-self-and-others,0.198,0.274,[-0.68  0.66]
46,personality_future-outlook,0.180,0.300,[-0.79  0.66]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.125,0.307,[-0.43  0.56]
16,communication_expressive-language,0.079,0.404,[-1.04  0.62]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.066,0.406,[-0.74  0.57]
57,somatic-and-sensory-functions_sexual-identity-behavior,0.024,0.458,[-1.04  0.58]
41,other-special-issues_sleep,0.000,0.482,[-1.11  0.57]
39,other-special-issues_physically-or-emotionally-harms-others,0.000,0.482,[-1.11  0.57]
58,toileting,0.000,0.482,[-1.11  0.57]
55,somatic-and-sensory-functions_eating,-0.000,0.482,[-0.82  0.53]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,-0.044,0.528,[-1.05  0.54]
37,other-special-issues_perception-of-reality,-0.086,0.561,[-1.36  0.54]
20,daily-routines_morning-routine,-0.090,0.567,[-1.3   0.54]
17,communication_receptive-language,-0.187,0.694,[-0.99  0.41]
4,behavior_habits-routines,-0.248,0.704,[-1.47  0.45]
56,somatic-and-sensory-functions_sensory-reactivity,-0.305,0.738,[-1.64  0.43]
11,cognition_memory-recall,-0.343,0.772,[-1.6  0.4]
6,behavior_play,-0.557,0.850,[-2.29  0.34]
54,social-function_tolerance,-1.113,0.996,[-2.76  0.08]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-3.939,0.999,[-12.73  -0.88]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-11.417,1.000,[-92.97  -2.61]
38,other-special-issues_physically-harms-self,,,[nan nan]
40,other-special-issues_self-care-hygiene,,,[nan nan]
42,other-special-issues_substance-use,,,[nan nan]
43,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
