,Item,ICC,PVal,CI95
37,other-special-issues_perception-of-reality,0.897,0.000,[0.78 0.96]
12,cognition_planning-and-organization,0.846,0.000,[0.68 0.93]
2,behavior_assertiveness,0.829,0.000,[0.64 0.93]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.813,0.000,[0.61 0.92]
28,emotion_worries-anxiety,0.814,0.000,[0.61 0.92]
8,behavior_self-control,0.782,0.000,[0.54 0.91]
36,other-special-issues_bullying,0.750,0.000,[0.48 0.89]
44,other-special-issues_trauma-history,0.729,0.000,[0.44 0.88]
27,emotion_stress-management,0.724,0.000,[0.43 0.88]
19,communication_speech-quantity,0.709,0.001,[0.39 0.88]
16,communication_expressive-language,0.678,0.001,[0.34 0.86]
26,emotion_irritability,0.680,0.002,[0.32 0.86]
5,behavior_obsessive-thoughts,0.678,0.002,[0.32 0.86]
24,emotion_emotional-regulation-and-reactivity,0.663,0.002,[0.3  0.85]
1,behavior_anger-management,0.675,0.002,[0.31 0.86]
10,cognition_attention-concentration,0.631,0.003,[0.25 0.84]
21,daily-routines_screen-time,0.642,0.004,[0.25 0.85]
9,cognition_abstract-thinking,0.611,0.004,[0.22 0.83]
3,behavior_compliance,0.581,0.004,[0.17 0.81]
15,cognition_thinking-speed,0.609,0.008,[0.17 0.83]
41,other-special-issues_sleep,0.587,0.009,[0.15 0.82]
25,emotion_empathy,0.524,0.027,[-0.01  0.8 ]
7,behavior_risk-taking,0.457,0.028,[-0.03  0.75]
11,cognition_memory-recall,0.494,0.035,[-0.05  0.78]
4,behavior_habits-routines,0.485,0.041,[-0.08  0.78]
48,personality_perseverance,0.455,0.051,[-0.12  0.76]
13,cognition_self-image,0.447,0.056,[-0.14  0.76]
14,cognition_task-completion,0.442,0.061,[-0.16  0.76]
52,social-function_social-cooperation,0.440,0.061,[-0.16  0.76]
45,personality_creativity,0.374,0.092,[-0.23  0.72]
23,emotion_attachment,0.378,0.108,[-0.32  0.74]
22,daily-routines_transitions,0.368,0.113,[-0.33  0.73]
50,personality_self-confidence,0.356,0.123,[-0.35  0.73]
49,personality_responsibility-for-self-and-others,0.329,0.124,[-0.3  0.7]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.331,0.131,[-0.34  0.71]
53,social-function_social-engagement,0.263,0.172,[-0.36  0.66]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.267,0.188,[-0.44  0.68]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.227,0.195,[-0.36  0.63]
46,personality_future-outlook,0.268,0.210,[-0.6   0.69]
51,social-function_social-communication,0.131,0.340,[-0.74  0.62]
18,communication_speech-quality,0.118,0.349,[-0.7   0.61]
17,communication_receptive-language,0.071,0.408,[-0.91  0.6 ]
57,somatic-and-sensory-functions_sexual-identity-behavior,0.057,0.422,[-0.93  0.59]
40,other-special-issues_self-care-hygiene,0.000,0.482,[-0.99  0.56]
56,somatic-and-sensory-functions_sensory-reactivity,-0.000,0.482,[-0.84  0.54]
58,toileting,0.000,0.482,[-1.11  0.57]
39,other-special-issues_physically-or-emotionally-harms-others,0.000,0.482,[-1.11  0.57]
38,other-special-issues_physically-harms-self,0.000,0.482,[-1.11  0.57]
43,other-special-issues_tics-and-other-atypical-movements,0.000,0.482,[-0.99  0.56]
20,daily-routines_morning-routine,-0.000,0.483,[-1.08  0.57]
47,personality_integrity-and-honesty,-0.071,0.549,[-1.29  0.55]
55,somatic-and-sensory-functions_eating,-0.100,0.574,[-1.38  0.54]
0,behavior_activity-level,-0.372,0.756,[-2.09  0.43]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,-0.261,0.781,[-1.02  0.35]
6,behavior_play,-0.498,0.843,[-1.97  0.34]
54,social-function_tolerance,-1.114,0.988,[-3.02  0.05]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-2.947,0.998,[-9.22 -0.54]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-23.135,1.000,[123.91  -4.26]
42,other-special-issues_substance-use,,,[nan nan]
