,Item,ICC,PVal,CI95
3,behavior_compliance,0.688,0.000,[0.51 0.84]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.480,0.000,[0.27 0.7 ]
47,personality_integrity-and-honesty,0.469,0.000,[0.26 0.69]
10,cognition_attention-concentration,0.439,0.000,[0.23 0.67]
19,communication_speech-quantity,0.393,0.000,[0.18 0.63]
25,emotion_empathy,0.384,0.000,[0.17 0.62]
2,behavior_assertiveness,0.364,0.000,[0.15 0.61]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.344,0.000,[0.14 0.59]
53,social-function_social-engagement,0.320,0.001,[0.11 0.57]
50,personality_self-confidence,0.317,0.001,[0.11 0.57]
9,cognition_abstract-thinking,0.311,0.001,[0.11 0.56]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.303,0.001,[0.1  0.55]
23,emotion_attachment,0.270,0.003,[0.07 0.52]
11,cognition_memory-recall,0.266,0.003,[0.07 0.52]
15,cognition_thinking-speed,0.256,0.004,[0.06 0.51]
27,emotion_stress-management,0.246,0.005,[0.05 0.5 ]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.237,0.007,[0.04 0.49]
21,daily-routines_screen-time,0.202,0.017,[0.01 0.46]
55,somatic-and-sensory-functions_eating,0.195,0.020,[0.01 0.45]
18,communication_speech-quality,0.178,0.029,[-0.    0.43]
6,behavior_play,0.163,0.040,[-0.02  0.42]
28,emotion_worries-anxiety,0.156,0.046,[-0.02  0.41]
8,behavior_self-control,0.144,0.059,[-0.03  0.4 ]
52,social-function_social-cooperation,0.126,0.083,[-0.05  0.38]
16,communication_expressive-language,0.120,0.093,[-0.05  0.37]
26,emotion_irritability,0.119,0.095,[-0.05  0.37]
12,cognition_planning-and-organization,0.100,0.131,[-0.06  0.35]
0,behavior_activity-level,0.085,0.167,[-0.08  0.33]
48,personality_perseverance,0.078,0.184,[-0.08  0.32]
7,behavior_risk-taking,0.068,0.214,[-0.09  0.31]
51,social-function_social-communication,0.058,0.246,[-0.09  0.3 ]
14,cognition_task-completion,0.045,0.292,[-0.1   0.28]
17,communication_receptive-language,0.043,0.296,[-0.1   0.28]
24,emotion_emotional-regulation-and-reactivity,0.030,0.350,[-0.11  0.26]
54,social-function_tolerance,0.008,0.440,[-0.13  0.24]
20,daily-routines_morning-routine,0.007,0.444,[-0.13  0.24]
46,personality_future-outlook,0.001,0.470,[-0.13  0.23]
38,other-special-issues_physically-harms-self,0.000,0.476,[-0.13  0.23]
42,other-special-issues_substance-use,0.000,0.476,[-0.13  0.23]
57,somatic-and-sensory-functions_sexual-identity-behavior,-0.004,0.492,[-0.14  0.22]
41,other-special-issues_sleep,-0.010,0.519,[-0.14  0.21]
49,personality_responsibility-for-self-and-others,-0.014,0.537,[-0.14  0.21]
5,behavior_obsessive-thoughts,-0.017,0.552,[-0.15  0.2 ]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-0.021,0.570,[-0.15  0.2 ]
36,other-special-issues_bullying,-0.022,0.573,[-0.15  0.2 ]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-0.023,0.581,[-0.15  0.2 ]
44,other-special-issues_trauma-history,-0.024,0.586,[-0.15  0.19]
4,behavior_habits-routines,-0.043,0.669,[-0.16  0.17]
13,cognition_self-image,-0.068,0.769,[-0.18  0.13]
45,personality_creativity,-0.069,0.774,[-0.18  0.13]
1,behavior_anger-management,-0.095,0.862,[-0.2   0.09]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,-0.108,0.896,[-0.2   0.08]
22,daily-routines_transitions,,,[nan nan]
37,other-special-issues_perception-of-reality,,,[nan nan]
39,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
40,other-special-issues_self-care-hygiene,,,[nan nan]
43,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
56,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
58,toileting,,,[nan nan]
